Unnamed_0,Name,Brand,Model,Battery_capacity_mAh,Screen_size_inches,Touchscreen,Resolution_x,Resolution_y,Processor,RAM_MB,Internal_storage_GB,Rear_camera,Front_camera,Operating_system,Wi_Fi,Bluetooth,GPS,Number_of_SIMs,three_G,four_G_LTE,Price
538,HTC One M9+,HTC,One M9+,2840,5.2,Yes,1440,2560,8,2000,16.0,20.0,4.0,Android,Yes,Yes,Yes,1,Yes,Yes,11000
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
S,P,E,C,I,A,L, ,O,F,F,E,R, ,F,O,R, ,Y,O,U,!
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
343,Gionee A1 Plus,Gionee,A1 Plus,4550,6.0,Yes,1080,1920,8,4000,64.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,895
1101,Lyf Water 7,Lyf,Water 7,3000,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,445
1074,Lava A32,Lava,A32,1500,4.0,Yes,480,800,1,256,0.512,2.0,0.3,Android,Yes,Yes,No,2,Yes,No,1800
1089,Karbonn A91 Storm,Karbonn,A91 Storm,2200,4.0,Yes,480,800,4,512,4.0,2.0,0.3,Android,Yes,Yes,Yes,2,Yes,No,1800
1112,Lyf Flame 6,Lyf,Flame 6,1750,4.0,Yes,480,800,4,512,4.0,2.0,2.0,Android,Yes,Yes,No,2,Yes,Yes,1800
1140,iBall Andi 5N Dude,iBall,Andi 5N Dude,2000,5.0,Yes,480,854,4,512,4.0,5.0,0.3,Android,Yes,Yes,Yes,2,Yes,No,1800
1166,Lava A52,Lava,A52,1200,4.0,Yes,480,800,2,512,4.0,2.0,0.3,Android,Yes,Yes,Yes,2,Yes,No,1800
1169,Lava Flair S1,Lava,Flair S1,1750,4.5,Yes,480,854,2,512,8.0,3.2,0.3,Android,Yes,Yes,Yes,2,Yes,No,1800
153,Jio Phone,Jio,Phone,2000,2.4,No,240,320,2,512,4.0,2.0,0.3,Cyanogen,Yes,Yes,Yes,1,No,Yes,1125
590,LG Optimus L3 II Dual,LG,Optimus L3 II Dual,1540,3.2,Yes,240,320,1,512,4.0,3.0,0.0,Android,Yes,Yes,Yes,2,Yes,No,1800
938,Swipe Konnect Neo 4G,Swipe,Konnect Neo 4G,2000,4.0,Yes,480,800,4,512,4.0,5.0,1.3,Android,Yes,Yes,Yes,2,Yes,Yes,1800
2,iPhone 11 Pro Max,Apple,iPhone 11 Pro Max,3969,6.5,Yes,1242,2688,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,96210
1225,LG K7,LG,K7,2125,5.0,Yes,480,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,1,Yes,No,895
617,Samsung Galaxy Z Flip,Samsung,Galaxy Z Flip,3300,6.7,Yes,1080,2636,8,8000,256.0,12.0,10.0,Android,Yes,Yes,Yes,1,No,No,157491
651,Samsung Galaxy Fold,Samsung,Galaxy Fold,4380,7.3,Yes,1536,2152,8,12000,512.0,16.0,10.0,Android,Yes,Yes,Yes,2,Yes,Yes,148500
1221,Intex Cloud 3G Candy,Intex,Cloud 3G Candy,1400,4.0,Yes,480,800,1,256,0.512,2.0,0.3,Android,Yes,Yes,Yes,2,Yes,No,1800
1340,Panasonic Love T10,Panasonic,Love T10,1400,3.5,Yes,480,800,2,512,4.0,2.0,0.3,Android,Yes,Yes,No,2,Yes,No,1800
